,Gene,WT_K27me3,NSD1KO_K27me3,WT_K36me2,NSD1KO_K36me2,WT_K36me3,NSD1KO_K36me3,change_K27me3,change_K36me3,change_K36me2,LFC,tpm_Parental,tpm_NSD1KO
5499,Rpl24,0.0017535529467602,0.0204981241750624,0.0676087958868159,0.0311899425952818,0.1740143345271836,0.1510514963667319,3.5471389947398624,-0.2041656778150798,-1.116130055517325,-0.257316076105616,1272.5186511698405,971.8556938747638
5500,Zbtb11,0.003487082451365,0.0131951115521369,0.096869826694148,0.0701590576523113,0.0866247270154986,0.0573150360871445,1.9199111654668264,-0.5958652340476458,-0.4654179903838908,-0.256940346244153,36.13342893810001,27.685189281634045
5501,Tfg,0.0042264254352838,0.0085992514273877,0.0772777754678532,0.0569747195503075,0.0732069937168501,0.0579205622189045,1.0247730799812969,-0.3379058743997533,-0.43973164703518,0.409709407923228,187.193803112146,239.85276448805385
5502,Tmem45a,0.0142418654206361,0.0769041759163117,0.2646448223263487,0.0747287186450277,0.0062045777735992,0.0048333851447925,2.432923814006577,-0.3602990777080106,-1.8243227383907568,0.810839969110026,6.895151457725701,12.254324001196728
5503,Tbc1d23,0.007438923644292,0.027388092084631,0.1806848629603082,0.1061739232430368,0.0306715252261512,0.0266063380764853,1.8803829736604745,-0.205129949526155,-0.7670461704204194,0.497707225412695,16.763099301829683,23.070820364848537
5504,Cmss1,0.0147240028721364,0.0354455221792184,0.2417687482206037,0.1098481875260475,0.0124881589006822,0.0065524323693431,1.2674334475474471,-0.930458336526128,-1.138116703629498,-0.514683222370092,47.34182544780137,29.199644543378525
5505,Dcbld2,0.0058566213585253,0.0165795574142092,0.1339811800346464,0.0973045465911291,0.0314028442273009,0.0249031005722378,1.5012649654269885,-0.3345698563182701,-0.4614512413808945,0.327281620930382,38.53545610124846,46.71416054950103
5506,St3gal6,0.026911636502275,0.125066565769306,0.2130461489565527,0.0139653712962866,0.005871235905167,0.0021033694091054,2.216394133892072,-1.480961976101537,-3.93124013738629,-2.2464021636143,0.5515339919234091,0.0462284967477252
5507,Crybg3,0.0065547391230533,0.0569120106135488,0.2365669935625565,0.0882544184054525,0.0260003627982495,0.0111754214427062,3.1181228807540213,-1.2182025154289298,-1.4225083862016854,-1.68090199198925,12.491841925653649,3.574208297536571
5508,Pros1,0.0113636208398175,0.0447589457462009,0.1476682512162265,0.0477077941360338,0.0067557943302747,0.0051882405909001,1.9777534551481517,-0.3808800258874194,-1.630062791810301,-0.476741865383722,21.94522291835517,13.806124726173476
